LOCATION_NUMBER,ADDRESS_LINE_ONE,ADDRESS_LINE_TWO,ADDRESS_LINE_THREE,CITY,STATE,ZIP_CODE,COUNTRY
748,793 IYANNOUGH ROAD,SPACE S182A,,HYANNIS,MA,2601,USA
752,1019 CHARLESTON TOWN CENTER,,,CHARLESTON,WV,25389,USA
754,100 COLUMBIANA CIRCLE,SPACE# 1056,,COLUMBIA,SC,29212,USA
756,10 SOUTHDALE CENTER,SPACE #1557,,EDINA,MN,55435,USA
758,1500 APALACHEE PKWY,SPACE #1425,,TALLAHASSEE,FL,32301,USA
760,200 EVERGREEN WY.,SUITE #264,,SOUTH WINDSOR,CT,6074,USA
762,700 HAYWOOD RD.,SUITE# 1011,,GREENVILLE,SC,29607,USA
764,803B FRIENDLY CENTER RD,,,GREENSBORO,NC,27408,USA
766,1460 PARAMUS PARK MALL,,,PARAMUS,NJ,7652,USA
768,4174 THE STRAND,SPACE# 321,,COLUMBUS,OH,43219,USA
770,174 QUAKER BRIDGE,,,LAWRENCEVILLE,NJ,8648,USA
772,70 WORCESTER-PROVIDENCE,"TURNPIKE, SPACE #509",,MILLBURY,MA,1527,USA
774,411 HAWTHORN CENTER,,,VERNON HILLS,IL,60061,USA
776,2300 EAST LINCOLN HIGHWAY,SPACE #127,,LANGHORNE,PA,19047,USA
778,808 WEST MAIN AVENUE,SPACE #233,,SPOKANE,WA,99201,USA
780,5100 NORTH 9TH AVENUE,,,PENSACOLA,FL,32504,USA
782,938 WEST NORTH AVENUE,,,CHICAGO,IL,60642,USA
784,1490 EMPIRE PLACE,,,SIOUX FALLS,SD,57106,USA
786,1451 CORAL RIDGE AVENUE,SPACE #320,,CORALVILLE,IA,52241,USA
788,(5TH AVE MALL),320 W. 5TH AVENUE,SPACE #201,ANCHORAGE,AK,99501,USA
790,3333 BEAR STREET,SUITE #213,,COSTA MESA,CA,92626,USA
792,3320 SILAS CREEK PARKWAY,SUITE #760,,WINSTON-SALEM,NC,27103,USA
794,1071 SANTA ROSA PLAZA,SPACE #1019A,,SANTA ROSA,CA,95401,USA
796,4200 CONROY ROAD,SPACE #H-224,,ORLANDO,FL,32839,USA
798,210 JORALEMAN STREET,SPACE #B,,BROOKLYN,NY,11201,USA
800,"6075 WEST, 300 SOUTH",,,SALT LAKE CITY,UT,84104,USA
802,AVENTURA MALL,19525 BISCAYNE BLVD,,AVENTURA,FL,33180,USA
804,ARDEN FAIR MALL,1695 ARDEN WAY,,SACRAMENTO,CA,95815,USA
808,ALLIANCE TOWN CENTER,9390 NORTH FREEWAY,,FORT WORTH,TX,76177,USA
810,EDEN PRAIRIE CENTER,8201 FLYING CLOUD DR,,EDEN PRAIRIE,MN,55344,USA
812,SANTA ANA MAIL PLACE MALL,2890 MAIN STREET,,SANTA ANA,CA,92705,USA
814,"NATICK, MA",,1245 WORCHESTER ST,NATICK,MA,1760,USA
816,THE WHITING TURNER COMPANY,9480 VILLAGE PLACE BLVD,,BRIGHTON,MI,48116,USA
818,JCP STORE 818,5751 LONG PRAIRIE RD,,FLOWER MOUND,TX,75028,USA
820,"PAPILLON, NE",THE LAW COMPANY,7751 TOWNE CENTER PKWY,PAPILLON,NE,68046,USA
822,THE FOUNDRY,439 WASHINGTON RD,,WASHINGTON,PA,15301,USA
824,STONEBRIAR MALL,2607 PRESTON RD,,FRISCO,TX,75034,USA
826,31510 GRATIOT AVE,,,ROSEVILLE,MI,48066,USA
828,CENTREPOINT WOODRIDGE,7400 WOODWARD AVE,,WOODRIDGE,IL,60517,USA
830,FASHION VALLEY MALL,6987 FRIARS RD,,SAN DIEGO,CA,92108,USA
832,OAKS MALL,6481 NEWBERRY RD,,GAINSVILLE,FL,32605,USA
834,STONERIDGE MALL,1500 STONERIDGE MALL RD,,PLEASANTON,CA,94588,USA
836,WELLINGTON GREEN,10308 W FOREST HILL BLVD,,WELLINGTON,FL,33414,USA
838,POLARIS MALL,1450 POLARIS PKWY,,COLUMBUS,OH,43240,USA
840,DADELAND MALL,7201 N KENDALL DR,,MIAMI,FL,33156,USA
908,49 LONG WHARF MALL,,,NEWPORT,RI,2840,USA
912,289 KING STREET,,,CHARLESTON,SC,29401,USA
914,HUNTINGTON BEACH,21040 PACIFIC COAST HIGHWAY,SPACE F120,HUNTINGTON BEACH,CA,92648,USA
916,SUBURBAN SQUARE,42A ST. GEORGE'S ROAD,,ARDMORE,PA,19003,USA
918,STAMFORD TOWN CENTER,100 GREYROCK PLACE,SPACE XXX,STAMFORD,CT,6901,USA
920,1612 SOUTH UNIVERSITY DRIVE,SPACE #401D,,FORT WORTH,TX,76107,USA
922,4766 ADMIRALTY WAY,SPACE #C1-3,,MARINA DEL REY,CA,90202,USA
924,5056 W. 119TH STREET,SPACE #300,,LEAWOOD,KS,66209,USA
926,5870 EAST BROADWAY BLVD,SPACE #222,,TUCSON,AZ,85711,USA
928,270 N. BEVERLY DRIVE,,,LOS ANGELES,CA,90210,USA
930,WESTFIELD SF CENTRE,865 MARKET STREET,SPACE #238,SAN FRANCISCO,CA,94103,USA
932,1800 GALLERIA BLVD,SPACE #1252,,FRANKLIN,TN,37067,USA
934,230 DEL MONTE CENTER,,,MONTEREY,CA,93940,USA
936,2800 CLARENDON BLVD,SUITE #R550,,ARLINGTON,VA,22201,USA
938,140 PROMENADE WAY,SPACE #C3,,WESTLAKE VILLAGE,CA,91362,USA
940,185 GREENWICH STREET,SUITE #LL4305 (C2),,NEW YORK,NY,10007,USA
942,98 DERBY STREET,UNIT 411,,HINGHAM,MA,2043,USA
944,358 SAN LORENZO AVENUE,UNIT #2100,,CORAL GABLES,FL,33146,USA
946,189 THE GROVE DRIVE,SPACE #F20,,LOS ANGELES,CA,90036,USA
948,21540 HAWTHORN BLVD,UNIT #406,,TORRANCE,CA,90503,USA
954,LA CENTERRA AT CINCO RANCH,23501 CINCO RANCH BLVD,UNIT #B130,KATY,TX,77494,USA
956,COUNTRY CLUB PLAZA,424 NICHOLS ROAD,,KANSAS CITY,MO,64112,USA
958,377 SANTANA ROW,SUITE #1010,,SAN JOSE,CA,95128,USA
1000,8500 NAIL ROAD,,,OLIVE BRANCH,MS,38654,USA
1002,8500 NAIL ROAD,,,OLIVE BRANCH,MS,38654,USA
1100,7 NORTH STREET,,,BOSTON,MA,2109,USA
1102,1000 F STREET NW,,,WASHINGTON,DC,20004,USA
1104,3167 PEACHTREE ROAD NE,SPACE C,,ATLANTA,GA,30305,USA
1106,7600 WINDROSE AVE,SUITE G130,,PLANO,TX,75024,USA
1108,414 NORTH PETERS STREET,,,NEW ORLEANS,LA,70130,USA
1110,88 NEWBURY STREET,,,BOSTON,MA,2116,USA
1112,8888 SW 136TH ST,SPACE #465C,,MIAMI,FL,33176,USA
1114,VALLEY RANCH,2235 VILLAGE WALK DR.,SUITE 163,HENDERSON,NV,89052,USA
1116,500 16TH STREET,UNIT 156,,DENVER,CO,80202,USA
1118,7831  VIA DEL RIO,,,FRESNO,CA,93720,USA
1120,11878 GRAND PARK AVE,,,NORTH BETHESDA,MD,20852,USA
1122,413 86TH STREET,,,BROOKLYN,NY,11209,USA
1126,212-01 26TH AVENUE,,,BAYSIDE,NY,11360,USA
1128,347 CORTE MADERA TOWN CENTER,,,CORTE MADERA,CA,94925,USA
1130,818 LINCOLN RD,,,MIAMI BEACH,FL,33139,USA
1132,(THE SHOPS AT EASTERN MARKET),380 7TH ST SE,,"WASHINGTON,",DC,20003,USA
1134,2075 DIAMOND BOULEVARD,STORE #H-125,,CONCORD,CA,94520,USA
1136,319 WASHINGTON ST,,,HOBOKEN,NJ,7030,USA
1138,1000 UNIVERSAL STUDIOS BLVD.,SPACE #144 & 146,,UNIVERSAL CITY,CA,91608,USA
1140,1460 BETHLEHEM PIKE,SUITE 250,,NORTH WALES,PA,19454,USA
1142,6025 ROYAL LANE,,,DALLAS,TX,75230,USA
1144,12036 VENTURA BLVD,Space F305,Studio City,LOS ANGELES,CA,91604,USA
1146,390 Hackensack Ave.,,SPACE #150,HACKENSACK,NJ,7601,USA
1148,CALHOUN SQUARE,3001 HENNEPIN AVE,,SOUTH MINNEAPOLIS,MN,55408,USA
1150,(THE SHOPPES AT CHINO HILLS),13850 CITY CENTER DRIVE,STE 5040,CHINO HILLS,CA,91709,USA
1152,6853 S. YORK STREET,SPACE 124,,CENTENNIAL,CO,80122,USA
1154,241 BEDFORD AVE,,,BROOKLYN,NY,11211,USA
1156,WINTER PARK SQUARE,1060 N ORLANDO AVE,,WINTER PARK,FL,32789,USA
1158,2999 EL CAMINO REAL,,,TUSTIN,CA,92782,USA
1160,(THE MILLS AT JERSEY GARDENS),651 KAPKOWSKI ROAD,SPACE 1230,ELIZABETH,NJ,7201,USA
1162,701 NORTH ALAFAYA TRAIL,,,ORLANDO,FL,32828,USA
1164,227 ELLINGTON BLVD,SPACE A210,,GAITHERSBURG,MD,20878,USA
1166,15265 PALISADE VILLAGE LANE,SPACE 2-108,,PACIFIC PALISADES,CA,90272,USA
1168,3407 CALIFORNIA STREET,,,SAN FRANCISCO,CA,94118,USA
1172,153-D Serramonte Center,,,DALY CITY,CA,94015,USA
1180,4622 MERCEDES DRIVE,,,BELCAMP,MD,21017,USA
1182,9020 HUDSON RD,SPACE C-104,SAINT PAUL,WOODBURY,MN,55125,USA
1184,4455 LYONS ROAD,SUITE 103,,COCONUT CREEK,FL,33073,USA
1186,255 E. BASSE ROAD,SUITE 146,,SAN ANTONIO,TX,78209,USA
1188,289 MAIN STREET,SUITE L-3,,EXTON,PA,19341,USA
1190,280 PALLADIO PARKWAY,SPACE #901,,FOLSOM,CA,95630,USA
1192,9930 MISSION GORGE RD,SPACE #9,,SANTEE,CA,92071,USA
1198,7397 BRIDGEPORT ROAD,SPACE #C-104,,TIGARD,OR,97224,USA
1200,1745 FOURTH STREET,,,BERKELEY,CA,94710,USA
1202,845 MARKET STREET,SPACE 241,,SAN FRANCISCO,CA,94103,USA
1204,4044 NE 1ST AVENUE,SPACE NO. MG121,,MIAMI,FL,33137,USA
1210,144 NORTH EAST PROMONTORY,SUITE #J-165,,FARMINGTON,UT,84025,USA
1218,175 NORTH PALM CANYON DRIVE,SUITE 125,,PALM SPRINGS,CA,92262,USA
1226,500 W. 33RD ST,SPACE #312,,NEW YORK,NY,10001,USA
1228,3699 MCKINNEY AVENUE,SUITE 510,,DALLAS,TX,75204,USA
1236,27514 LUGONIA AVENUE,SUITE #C,,REDLANDS,CA,92374,USA
1238,66 SEAPORT BLVD,,,BOSTON,MA,2210,USA
1240,6000 BOLLINGER CANYON ROAD,SUITE 1605,,SAN RAMON,CA,94583,USA
2500,THE MAJESTIC,A.G. BARTLETT BUILDING,650 S SPRING ST,LOS ANGELES,CA,90014,USA
